EFF_DATE,FACILITY_ID,FACILITY_TYPE,STATE_CODE,COUNTRY_CODE,RADAR_TYPE,RADAR_NO,RADAR_HRS,REMARK
2025/03/20,JFK,AIRPORT,NY,US,ASR,1,24,
2025/03/20,JRF,AIRPORT,HI,US,ASR,1,1000-1800.,(RADAR_TYPE) GCA OTS INDEFLY.
2025/03/20,JRF,AIRPORT,HI,US,PAR,2,1000-1800.,(RADAR_TYPE) GCA OTS INDEFLY.
2025/03/20,KWA,AIRPORT,,MH,BCN,1,"MON 1200-2000, TUE-SAT 0545-2130",
2025/03/20,LAN,AIRPORT,MI,US,ASR,1,24,
2025/03/20,LAS,AIRPORT,NV,US,ASR,1,24,
2025/03/20,LAX,AIRPORT,CA,US,ASR,2,24,
2025/03/20,LCH,AIRPORT,LA,US,ASR,1,0600-2200,
2025/03/20,LEX,AIRPORT,KY,US,ASR,1,24,
2025/03/20,LFI,AIRPORT,VA,US,ASR,1,24,
2025/03/20,LFT,AIRPORT,LA,US,ASR,1,0530-2230,
2025/03/20,LGB,AIRPORT,CA,US,ASR,1,24,
2025/03/20,LIH,AIRPORT,HI,US,ASR,1,24,
2025/03/20,LIT,AIRPORT,AR,US,ASR,1,24,
2025/03/20,LMT,AIRPORT,OR,US,ASR,1,24,
2025/03/20,LNK,AIRPORT,NE,US,ASR,1,0530-0000,
2025/03/20,LRF,AIRPORT,AR,US,ASR,1,"1400-2200Z++ MON-FRI, CLSD WKENDS & HOLS.",
2025/03/20,LSV,AIRPORT,NV,US,ASR,1,24,(RADAR_TYPE) ILS/RADAR: TOLICHA PEAK RADAR - NO-NOTAM MP: ASR FIRST FULL WEEK OF EVERY MONTH.  
2025/03/20,LSV,AIRPORT,NV,US,ASR,3,NELLIS ASR NO-NOTAM MP 0700-1100Z++ MON-FRI.,(RADAR_TYPE) ILS/RADAR: TOLICHA PEAK RADAR - NO-NOTAM MP: ASR FIRST FULL WEEK OF EVERY MONTH.  
2025/03/20,LTS,AIRPORT,OK,US,ASR,1,ASR OPRS 0730-0130 MON-FRI EXCP HOL.,
2025/03/20,LTS,AIRPORT,OK,US,PAR,2,PAR OPRS 1000-0000 MON-FRI EXCP HOL.,
2025/03/20,LUF,AIRPORT,AZ,US,ASR,1,"OPR MON-THU 1330Z-0530Z, FRI 1330Z-0130Z, CLSD WEEKENDS, HOL, AND AETC FAMILY DAYS.  NO NOTAM MP: ASR (DIGITAL) 0600-1330Z WEEKDAY.",
2025/03/20,LUF,AIRPORT,AZ,US,PAR,2,"OPR MON-THU 1330Z-0530Z, FRI 1330Z-0130Z, CLSD WEEKENDS, HOL, AND AETC FAMILY DAYS.",
2025/03/20,LYH,AIRPORT,VA,US,ASR,1,24,
2025/03/20,MAF,AIRPORT,TX,US,ASR,1,0600-0000,
2025/03/20,MBS,AIRPORT,MI,US,ASR,1,0600-2300,
2025/03/20,MCC,AIRPORT,CA,US,ASR,1,24,
2025/03/20,MCI,AIRPORT,MO,US,ASR,1,24,
2025/03/20,MCO,AIRPORT,FL,US,ASR,1,24,
2025/03/20,MDT,AIRPORT,PA,US,ASR,1,24,
2025/03/20,MEI,AIRPORT,MS,US,ASR,1,0900-1700 MON-FRI EXCP HOLS.,
2025/03/20,MEI,AIRPORT,MS,US,PAR,2,0900-1700 MON-FRI EXCP HOLS.,
2025/03/20,MEM,AIRPORT,TN,US,ASR,1,24,
2025/03/20,MFD,AIRPORT,OH,US,ASR,1,0600-2300,
2025/03/20,MFR,AIRPORT,OR,US,ASR,1,0600-2300,
2025/03/20,MGE,AIRPORT,GA,US,ASR,1,0700-2300.,
2025/03/20,MGM,AIRPORT,AL,US,ASR,1,0600-2300,
2025/03/20,MHT,AIRPORT,NH,US,ASR,1,24,
2025/03/20,MIA,AIRPORT,FL,US,ASR,2,24,
